SKU,Bulk Quantity,Material,ReqScrew,ScrewType,FreePegs,FreeSpike,Bulk SKU,Manage Stock
DB8-FREE,,Stainless steel,,,,,,FALSE
FL100HSB,,Weathering steel,,,,,FL100HSB-BLK,TRUE
FL100HSB-BLK,40,Weathering steel,,,,,,TRUE
FL150HSB,,Weathering steel,,,,,FL150HSB-BLK,TRUE
FL150HSB-BLK,40,Weathering steel,,,,,,TRUE
JN-SET-2P,,Mild steel,,,,,,FALSE
JN-SET-3P,,Mild steel,,,,,,FALSE
BROCHURE-23,,,,,,,,TRUE
PR240WS-800-BOX3,,,,,,,,TRUE
PR400WS-800-BOX3,,,,,,,,TRUE
PR560WS-800-BOX3,,,,,,,,TRUE
